Ｎｅｗ		1A0AENG ◼  GER ◼  MW  ◼  RAD ◼  OPP ◼   INFORMATION 1A0PSTROKES: (0)  CLASSIFIER:  VARIANTS:  RELATIVES:  WORDS:  DISTINGUISH:  DICTIONARY ENTRIES:   ·    CHARACTER MEANING 1A0PCOMPONENTS:  MNEOMICS:  COMPONENT USAGE:  ORIGINS:    ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/又
冂[冂]	jiong1	1A0ARAD ◼ KangXi radical Nr. 13: wide ◼ aka 同字框 [tóngzìkuàng]   INFORMATION 1A0PSTROKES: (2) 񃙸 񃙹 RELATIVES: 冏 · 冋 DISTINGUISH: 冂 [táng]   CHARACTER MEANING 1A0PCOMPONENTS: 冂 COMPONENT USAGE: ◼ NOT a stand-alone character ◼ mostly as sound component ORIGINS: The character shares the same form as 冂 [táng] in the modern script.  A0PAA00https://zi.tools/zi/冂
亅[亅]	jue2	1A0ARAD ◼ KangXi radical Nr. 6: hook ◼ aka 竖钩 [shùgōu]  INFORMATION 1A0PSTROKES: (1) 亅 DISTINGUISH: 丨   CHARACTER MEANING 1A0PCOMPONENT USAGE: ◼ NOT a stand-alone character ◼ NOT used as component  A0PAA00https://zi.tools/zi/亅 
口	kou3	1A0AENG ◼ mouth ◼ open end, opening ◼ entrance, gate  GER ◼ Mund, Öffnung MW  ◼ things with mouths (family members, domestic animals, cannons, wells, etc) ◼ for bites or mouthfuls  RAD ◼ KangXi radical Nr. 30: mouth   INFORMATION 1A0PSTROKES: (3) 񁽑 񁽒 񁽓 VARIANTS: 亼 RELATIVES: 和 · 问 DISTINGUISH: 囗  CHARACTER MEANING 1A0PCOMPONENTS: 口 MNEOMICS: an open/smiling mouth, where food and words enter and get out COMPONENT USAGE: ◼ opening, entrnace ◼ things done with one's mouth: speaking, eating, drinking, etc. ◼ sound ORIGINS: 口 depicts a person’s open mouth.  ANCIENT FORM:AA10񁽏  A0PAA00https://zi.tools/zi/口
里[里]	li3	1A0AENG ◼ neighborhood ◼ native place ◼ administrative unit between the township zhèn [镇] and neighborhood lín [邻] GER ◼ Nachbarschaft, nähere Umgebung ◼ Heimat  MW  ◼ (ancient) measurement of length  (= 500 m = 150 zhang (市丈) RAD ◼ KangXi radical Nr. 166: village ◼ identical to simplified form of 裡 [li] and 裏 [lǐ]  INFORMATION 1A0PSTROKES: (7) 񳲂 񳲃 񳲄 񳲅 񳲇 񳲈 񳲉 RELATIVES: 裡 · 裏 · 野  WORDS: 邻里 · 故里 DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 田 · 土 ◼ 田 [tián]: form: field ◼ 土 [tu3]: form: pile of earth MNEOMICS:  in our neighborhood there are rice fields 田 and a cemetery 土 COMPONENT USAGE: ◼ sound component ORIGINS: 里 is composed of a field (田) and a pile of earth (土), indicating the original meaning “a place to live”. A place that can be farmed is suitable for living. The character 里 is used in simplified Chinese to replace 裡 and 裏.   ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/里  
茻[茻]	mang3	1A0ARAD ◼ Shuowen Jiezi radical Nr. 14   INFORMATION 1A0PSTROKES: (12)  RELATIVES: 寒 (ancient form)  CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 屮 · 屮 · 屮 · 屮 ◼ 屮 [chè]: form/meaning: vegetation COMPONENT USAGE: ◼ vegetation, grass ORIGINS: 茻 is only found as a radical. It probably means numerous grass or weeds. In ancient character forms, the components 茻 and 艹 were used interchangeably dud to similar meaning.   ANCIENT FORM:AA10񴄜(ancient 草)  A0PAA00https://zi.tools/zi/茻
门[門]	men2	1A0AENG ◼ entrance (of a building, vehicle or vessel) ◼ switch, valve ◼ method, knack ◼ family, branch ◼ class, category ◼ school (of thought), (religious) sect GER ◼ Tor, Eingang MW  ◼ large guns, cannon ◼ lessons, subjects, branches of technology ◼ language ◼ relatives ◼ marriage RAD ◼ KangXi radical Nr. 169: gate   INFORMATION 1A0PSTROKES: (3) 񄩀 񄩁 񄩂 CLASSIFIER: shàn [扇] / gè [个] VARIANTS: 門 (traditional) RELATIVES: 開 · 间 · 们 DISTINGUISH: 鬥 · 们   CHARACTER MEANING 1A0PCOMPONENTS: 门 MNEOMICS: a pair of swinging doors COMPONENT USAGE: ◼ entrance, gate ◼ opening, closing ORIGINS: 门 is an abbreviated form of 門. It depicts a double-sided door.  ANCIENT FORM:AA10񄨽񄨾  A0PAA00https://zi.tools/zi/门 https://zi.tools/zi/門
米[米]	mi3	1A0AENG ◼ (uncooked) rice GER ◼ (ungekochter) Reis  MW  ◼ meter (unit of length) RAD ◼ KangXi radical Nr. 119: rice   INFORMATION 1A0PSTROKES: (6) 񃋼 񃋽 񃋾 񃋿 񃌀 񃌁 CLASSIFIER: bǎ [把] VARIANTS:   RELATIVES: 数  DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 米  MNEOMICS: rice growing in a paddie, the horizontal line is the water line  COMPONENT USAGE: ◼ grain ◼ particulate (general term) ORIGINS: 米 depicts grains of rice.   ANCIENT FORM:AA10񃋺  A0PAA00https://zi.tools/zi/米
冖[冖]	mi4	1A0ARAD ◼ KangXi radical Nr. 14: cover ◼ aka 秃宝盖 [tūbǎogài] or 平宝盖 [píngbǎogài]   INFORMATION 1A0PSTROKES: (2)  RELATIVES: 冥 · 冞 · 冚 DISTINGUISH: 一 · 亠 · 宀 · 乛   CHARACTER MEANING 1A0PCOMPONENT USAGE: ◼ NOT a stand-alone character A0PAA00https://zi.tools/zi/冖
宀	mian2	1A0ARAD ◼ KangXi radical Nr. 40: roof INFORMATION 1A0PSTROKES: (3) 񁓈 񁓉 񁓊 VARIANTS: ︿ RELATIVES: 家 · 客 DISTINGUISH: 一 · 亠 · 冖 · 乛  CHARACTER MEANING 1A0PCOMPONENTS: 宀 MNEOMICS: The dot on top may represent a chimney, the edges eaves. COMPONENT USAGE: ◼ NOT a standalone character ◼ things related to houses and buildings  ORIGINS: 宀 is a picture of a house, which is the original meaning. In comparison to 广, this hous probably has all four walls.   ANCIENT FORM:AA10񁓆  A0PAA00https://zi.tools/zi/宀  
木	mu4	1A0AENG ◼ tree ◼ wood, lumber, timber ◼ wooden ◼ senseless, numb, simple, dull, slow-witted ◼ coffin  GER ◼ Baum,  ◼ Holz, Nutzholz ◼ hölzern ◼ erstarrt, empfindungslos, taub  RAD ◼ KangXi radical Nr. 75: tree  INFORMATION 1A0PSTROKES: (4) 񄦚 񄦛 񄦜 񄦝  VARIANTS: 朩  RELATIVES: 床 · 果 · 本  DISTINGUISH: 禾 · 釆 · 米   CHARACTER MEANING  1A0PCOMPONENTS: 木  MNEOMICS: a willow tree  COMPONENT USAGE: ◼ wooden things ◼ trees related like fruits.  ORIGINS: 木 depicts a tree with the upper part resembling a branch and the lower part resembling a root.   ANCIENT FORM:AA10񄦘  A0PAA00https://zi.tools/zi/木
目	mu4	1A0AENG ◼ eye ◼ look, regard ◼ item ◼ mesh, grit size (abbr. 目数) ◼ list, catalogue ◼ division, section ◼ order (taxonomy) ◼ topic GER ◼ Auge ◼ betrachten, sehen ◼ mesh ◼ Verzeichnis, Index, Katalog, Liste ◼ Ordnung (Taxonomie) RAD ◼ KangXi radical Nr. 109: eye ◼ identical to component form 罒 of KangXi radical Nr. 122: net  INFORMATION 1A0PSTROKES: (5) 񳗚 񳗛 񳗜 񳗝 񳗞 VARIANTS: 罒 RELATIVES: 看 · 眼 WORDS: 目光 · 目数 · 項目 · 節目 · 題目 · 目錄 DISTINGUISH: 日 · 曰 · 臼   CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 目 MNEOMICS: an eye with iris/pupil, topic is something that catches the eye COMPONENT USAGE: ◼ eyes and what you use them for (look, inspect) ◼ conciousness ORIGINS: 目 depicts a human eye. As a component, it is often written 罒 (identical to component form of 网.   ANCIENT FORM:AA10񱨑  A0PAA00https://zi.tools/zi/目
女	nü3	1A0AENG ◼ woman, female ◼ girl, daughter, maiden ◼ feminine  GER ◼ Frau ◼ Tochter ◼ weiblich RAD ◼ KangXi Nr. 38 woman OPP ◼ 男  INFORMATION 1A0PCLASSIFIER: gè [个] / wèi [位] STROKES: (3) 񃶙 񃶚 񃶛  VARIANTS:   RELATIVES: 好 · 妊 · 妹 · 奶 · 姓 · 妈DISTINGUISH:   CHARACTER MEANING 1A0PCOMPONENTS: 女  MNEOMICS: looks like a woman sitting down with legs crossed  COMPONENT USAGE: ◼  feminine things ◼ having to do with people in general ◼ marriage and courtship ORIGINS: 女 is a picture of the side view of a woman in a kneeling-sit position. It is unclear whether the ancient character shows the woman's arms folded over her chest or her breasts. The original meaning is woman.   ANCIENT FORM:AA10񃶗  A0PAA00https://zi.tools/zi/女
丿[丿]	pie3	1A0ARAD ◼ KangXi radical Nr. 4: slash ◼ aka 撇 [piě]  INFORMATION 1A0PSTROKES: (1) 丿 VARIANTS: 乀 · 乁   CHARACTER MEANING 1A0PCOMPONENT USAGE: ◼ NOT a stand-alone character A0PAA00https://zi.tools/zi/丿
气[氣]	qi4	1A0AENG ◼ gas, air, steam ◼ weather ◼ breath ◼ smell, odour ◼ vital energy, qi ◼ insult, annoy, enrage ◼ angry, annoyed GER ◼ Gas, Luft  ◼  Atemzug ◼ Wetter ◼ Geruch ◼ wütend, verärgert ◼ Qi RAD ◼ KangXi radical Nr. 84: steam  OPP ◼ 液 ◼ 固   INFORMATION 1A0PSTROKES: (4) 񃕝 񃕞 񃕟 񃕠  VARIANTS: 気 (Japan)  RELATIVES: 汽 · 氣  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 气 · 米 ◼ 气 [qì]: sound/form/meaning: cloud, air ◼ 米 [mi]: meaning: rice MNEOMICS: a man blowing air from his mouth, the spirit is floating over the water like steam  COMPONENT USAGE: ◼ air ◼ gas (as opposed to a liquid or solid) ORIGINS: The ancient character for a cloud is 气. Originally, 氣 used sound loan from 气, while the meaning of giving or serving food was connected to the other compound 米. Later, the character 氣 was replaced by 餼, and 气 was replaced by 氣. In Simplified Chinese, the ancient form of 气 is used to represent 氣.   ANCIENT FORM:AA10񃕛  A0PAA00https://zi.tools/zi/气 https://zi.tools/zi/氣
人	ren2	1A0AENG ◼ person, human being ◼ people, mankind ◼ everybody ◼ someone else, other people ◼ adult ◼ person of certain character/integrity GER ◼ Mensch  RAD ◼ KangXi Nr. 9 man  INFORMATION 1A0PCLASSIFIER: gè [个] / wèi [位]  STROKES: (2) 񄵓 񄵔  VARIANTS: 亻 · 𠂉 · 𠂊 · 儿  RELATIVES: 众  DISTINGUISH: 入 · 八   CHARACTER MEANING 1A0PCOMPONENTS: 人  MNEOMICS: person standing wide legged COMPONENT USAGE: ◼ human attributes ◼ actions done by people ORIGINS: The ancient Chinese character  for 人 resembles a human standing with his hands hanging down on his side.  ANCIENT FORM:AA10񁤸  A0PAA00https://zi.tools/zi/人
亻	ren2	1A0AENG ◼ person, human being GER ◼ Mensch RAD ◼ component-only side form of KangXi Nr. 9: man INFORMATION 1A0PSTROKES: (2) 񃸨 񃸩 VARIANTS: 人 EXAMPLES:  们 · 你 · 他 DISTINGUISH: 彳   CHARACTER MEANING 1A0PCOMPONENTS: 人 MNEOMICS: a man facing left COMPONENT USAGE: ◼ NOT a stand-alone character ◼ human attributes ◼ actions done by people ORIGINS: 亻depicts the side view of a person standing.   ANCIENT FORM:AA10񁤸  A0PAA00https://zi.tools/zi/亻
日	ri4	1A0AENG ◼ sun, solar ◼ day, daytime ◼ ervery day, daily ◼Japan ◼ season  GER ◼ Sonne ◼ Tag ◼ Japan  RAD ◼ KangXi radical Nr. 72: sun  OPP ◼ 夜  INFORMATION 1A0PSTROKES: (4) 񃘽 񃘾 񃘿 񃙀  VARIANTS:   RELATIVES: 明 · 的 · 时  DISTINGUISH: 曰 · 白 · 臼  GRAMMAR DICTIONARY ENTRIES:  ＿年＿月＿日   CHARACTER MEANING 1A0PCOMPONENTS: 日  MNEOMICS: The sun tells what time of day it is. Japan is the land of the rising sun.   COMPONENT USAGE: ◼ heat ◼ light ◼ (period of) time ORIGINS: 日 depicts the sun. The character was originally a circle, but because it's not easy to inscribe on oracle bones, the character may have been changed to a square shape. The dot in 日 is to avoid confusion with 囗.   ANCIENT FORM:AA10񃘻  A0PAA00https://zi.tools/zi/日
肉[肉]	rou4	1A0AENG ◼ meat, flesh ◼ pulp (of a fruit) ◼ carnal GER ◼ Fleisch RAD ◼ KangXi radical Nr. 130: meat  INFORMATION 1A0PSTROKES: (6) 񂴸 񂴹 񂴺 񂴻 񂴼 񂴽 CLASSIFIER: kuài [块] / piàn [片] VARIANTS: 񰀷 · 宍 (old) RELATIVES: 胔 · 腐 · 胾 · 臠 DISTINGUISH: 月  CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 肉 MNEOMICS: Flesh cut into pieces. After eating the meat, only the (wishing) bones remain  COMPONENT USAGE: ◼ meat, fleshy things ◼ parts of the body ORIGINS: 肉 is a picture of a piece of meat. The original meaning of the character is the meat of birds and other animals. When it appears as a component on the left-hand side of a character, it is written 񰀷 (looks identical to 月).   ANCIENT FORM:AA10񁪂  A0PAA00https://zi.tools/zi/肉
入[入]	ru4	1A0AENG ◼ go into, enter ◼ join ◼ conform to, agree with  GER ◼ hinein, herein RAD ◼ KangXi radical Nr. 11: enter OPP ◼ 出  INFORMATION 1A0PSTROKES: (2) 񂌯 񂌰 RELATIVES: 內 WORDS: 进入 · 收入 · 入口 · 入声 DISTINGUISH: 八 · 人  CHARACTER MEANING 1A0PCOMPONENTS: 入 MNEOMICS:  ◼ A small wedge used to hold a door open by lodging it between the door and the floor ◼ The open door of a tent COMPONENT USAGE: ◼ enter ORIGINS: 入 depicts a wedge, indicating the original meaning “to enter” .  ANCIENT FORM:AA10񂌭  A0PAA00https://zi.tools/zi/入
山	shan1	1A0AENG ◼ mountain, hill, peak ◼ anything resembling a mountain  GER ◼ Berg  RAD ◼ KangXi radical Nr. 46: mountain   INFORMATION 1A0PCLASSIFIER: zuò [座]  STROKES: (3) 񳩰 񳩱 񳩲  VARIANTS:   RELATIVES: 岛  DISTINGUISH: 屮  CHARACTER MEANING 1A0PCOMPONENTS: 山  MNEOMICS: a mountain with three peaks  COMPONENT USAGE: ◼ landscape features ◼ mountain characteristics (rocks, heights) ORIGINS: 山 depicts a mountain.    ANCIENT FORM:AA10񳩮  A0PAA00https://zi.tools/zi/山
生	sheng1	1A0AENG ◼ birth, be born ◼ life, live, alive ◼ give, create ◼ grow ◼ raw, uncooked ◼ student, pupil GER ◼ geboren werden , gebären ◼ leben RAD ◼ KangXi radical Nr. 100: life OPP ◼ 熟 ◼ 死   INFORMATION 1A0PSTROKES: (5) 񴦴 񴦵 񴦶 񴦷 񴦸 VARIANTS:   RELATIVES: 姓  DISTINGUISH: 王  CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 生 MNEOMICS: Trimming a tree with (five) branches to make to grow new buds of life COMPONENT USAGE: ◼ grow ◼ emerge ORIGINS: 生 depicts a plant 屮 sprouting from the ground, hence the  original meaning “to grow, to emerge”.  The ground was originally as depicted as a horizontal line 一, and later changed to 土 (after a decorative stroke was added).   ANCIENT FORM:AA10񴦲  A0PAA00https://zi.tools/生
食[食]	shi2	1A0AENG ◼ eat ◼ food ◼ animal feed ◼ eclipse GER ◼ essen, speisen RAD ◼ KangXi radical Nr. 184: eat  INFORMATION 1A0PSTROKES: (9) 񃹠񃹡񃹢񃹤񃹥񃹦񃹧񃹨񃹩 VARIANTS: 饣 · 飠 RELATIVES: 餐 DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 食 ◼ 亽 [jí]: form: (upsidedown) mouth (亼) ◼ 艮 [gěn]: empty: 艮 replaced 皀 (grain basket) MNEOMICS: a good 良 restaurant has a peaked roof 񃹡 (the lower two strokes are chopsticks) COMPONENT USAGE: ◼ eat ◼ food ORIGINS: 食 depicts a mouth (亽) over a bamboo basket used to hold grain (originally 皀; now replaced by 艮), indicating the original meaning “to eat”.   ANCIENT FORM:AA10񃹞  A0PAA00https://zi.tools/zi/食  
饣[飠]	shi2	1A0ARAD ◼ component-only form of KangXi radical Nr. 184: eat  INFORMATION 1A0PSTROKES: (3) 񂱞 񂱟 񂱠 VARIANTS: 食 · 飠 RELATIVES: 饭 · 飯 DISTINGUISH: 钅 · 釒 · 讠  CHARACTER MEANING 1A0PCOMPONENTS: 食 ◼ 亽 [jí]: form: (upsidedown) mouth (亼) ◼ 艮 [gěn]: empty: 艮 replaced 皀 (grain basket) MNEOMICS: a mouth eating a piece of noodle COMPONENT USAGE: ◼ eat ORIGINS: 饣 is a component form of 食. 食 depicts a mouth (亽) over a bamboo basket used to hold grain (originally 皀; now replaced by 艮), indicating the original meaning “to eat”. When 食 appears on the left-hand side of a character, it is abbreviated to 饣. 饣 replaces 飠 in Simplified Chinese via regularization of cursive.  ANCIENT FORM:AA10񂱜񂇞  A0PAA00https://zi.tools/zi/饣 https://zi.tools/zi/飠 https://zi.tools/zi/食 
水	shui3	1A0AENG ◼ water ◼ body of water (river, lake, etc.) ◼ liquid ◼ flood  GER ◼ Wasser ◼ Gewässer ◼ Flüssigkeit  MW  ◼ washings, rinsings (of a garment) RAD ◼ KangXi radical Nr. 85: water OPP ◼ 冰  ◼ 蒸汽, 水蒸汽    INFORMATION 1A0PSTROKES: (4) 񄪱 񄪲 񄪳 񄪴  VARIANTS: 氵 · 氺  RELATIVES: 冰  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 水  MNEOMICS: kneeling by a stream of water  COMPONENT USAGE: ◼ liquid ◼ actions involving liquids (like pouring, flowing, swimming, etc)  ORIGINS: 水 depicts flowing water. As a component, it is more often written 氵or  氺.   ANCIENT FORM:AA10񁠨  A0PAA00https://zi.tools/zi/水
氵	shui3	1A0ARAD ◼ component-only form of KangXi radical Nr. 85: water   INFORMATION 1A0PCLASSIFIER: dī [滴] STROKES: (3) 񁠪 񁠫 񁠬 VARIANTS: 水 · 氺  RELATIVES: 酒 · 海 · 没  DISTINGUISH: 冫 · 彡   CHARACTER MEANING 1A0PCOMPONENTS: 水  MNEOMICS: water droplets COMPONENT USAGE: ◼ liquid ◼ actions involving liquids (like pouring, flowing, swimming, etc)  ORIGINS: 氵 is a component form of 水, which depicts flowing water.   ANCIENT FORM:AA10񁠨  A0PAA00https://zi.tools/zi/氵
巳[巳]	si4	1A0AENG ◼ 6th earthly branch: 9-11 a.m. ◼ 4th solar month (5th May-5th June) ◼  year of the Snake GER ◼ 6. der 12 Erdenzweige (Erdstämme) ◼ 9 bis 11 Uhr vormittags ◼ 6. Tier im chin. Tierkreis - Schlange, Jahr der Schlange RAD ◼ KangXi radical Nr. 49: self   INFORMATION 1A0PSTROKES: (3) 񲿓 񲿔 񲿕 VARIANTS: 己 · 已 RELATIVES: 包 DISTINGUISH: 巴  CHARACTER MEANING 1A0PCOMPONENTS: 巳 MNEOMICS: a sanke COMPONENT USAGE: ◼ rare ORIGINS: 巳 depicts a snake-like reptile.  It was borrowed very early via sound loan as one of the Earthly Branches.    ANCIENT FORM:AA10񱭆  A0PAA00https://zi.tools/zi/巳
冂[冂]	tang2	1A0ARAD ◼ identical to KangXi radical Nr. 13: wide   INFORMATION 1A0PSTROKES: (2)񃙸 񃙹 RELATIVES: 内 · 尚 DISTINGUISH: 冂 [jiōng]   CHARACTER MEANING 1A0PCOMPONENTS: 冂 COMPONENT USAGE: ◼ NOT a stand-alone character ◼ hall (of a building) ORIGINS: 冂 depicts the hall of a building. It is the original form of 堂.  The character shares the same form as 冂 [jiōng] in the modern script.  ANCIENT FORM:AA10񃙶  A0PAA00https://zi.tools/zi/冂 
田	tian2	1A0AENG ◼ field, arable land ◼ farm GER ◼ Reisfeld, Feld, Acker(land)  RAD ◼ KangXi radical  Nr. 102: field   INFORMATION 1A0PSTROKES: (5) 񄻀 񄻁 񄻂 񄻃 񄻄 CLASSIFIER: piàn [片] VARIANTS: 由 · 甲 · 申 (all stand-alone) RELATIVES: 佃 · 畋 · 男 · 电 · 里 DISTINGUISH: 毌   CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 田  MNEOMICS: a rice paddy,  the field is equally ino four parts  COMPONENT USAGE: ◼ field ◼ farm(land) ORIGINS: 田 depicts a field with crisscrossed footpaths.   ANCIENT FORM:AA10񄺾  A0PAA00https://zi.tools/zi/田
亠[亠]	tou2	1A0ARAD ◼ KangXi radical Nr. 8: lid, head ◼ aka 点横  INFORMATION 1A0PSTROKES: (2) ` 亠 DISTINGUISH: 一 · 冖 · 宀 · 乛   CHARACTER MEANING 1A0PCOMPONENT USAGE: ◼ NOT a stand-alone character A0PAA00https://zi.tools/zi/亠
王[王]	wang2	1A0AENG ◼ king, ruler, monarch, emperor, royal  ◼ prince, highest rank of nobility ◼ strongest, most powerful, best  GER ◼ König  RAD ◼ identical to variant form 𤣩of KangXi radical Nr. 96: jade   INFORMATION 1A0PSTROKES: (4) 񃸔 񃸕 񃸖 񃸗 VARIANTS:  RELATIVES: 旺 DISTINGUISH: 玉   CHARACTER MEANING 1A0PCOMPONENTS: 王  MNEOMICS: a king with his crown and sitting on his throne  COMPONENT USAGE: ◼ sound [wáng]  ORIGINS: 王 depicts an axe blade, a symbol of power and authority, hence the original meaning of the highest ruler.   ANCIENT FORM:AA10񃸒  A0PAA00https://zi.tools/zi/王
囗	wei2	1A0ARAD ◼ KangXi radical Nr. 31: enclosure   INFORMATION 1A0PSTROKES: (3) 񄮷 񄮸 񄮹  VARIANTS:    RELATIVES: 国 · 圍 DISTINGUISH: 口  CHARACTER MEANING 1A0PCOMPONENTS: 囗   MNEOMICS: The circle/box represents a wall surrounding something, for example, a house COMPONENT USAGE: ◼ NOT a stand-alone character ◼ surround (now written 圍) ◼ contain ORIGINS: 囗 depicts the borders of a city.  ANCIENT FORM:AA10񄮵  A0PAA00https://zi.tools/zi/囗
文	wen2	1A0AENG ◼ writing, script, article ◼ language ◼ literature, culture, education ◼ gentle, refined, civili, formal ◼ tatoo, cover  GER ◼ Schrift ◼ Sprache ◼ Lehre, Kultur, Literatur  MW  ◼ (old) for coins, copper cash RAD ◼ KangXi radical Nr. 67: script OPP ◼ 武    INFORMATION 1A0PSTROKES: (4) 񂺱 񂺲 񂺳 񂺴 VARIANTS:  RELATIVES: 斈 · 纹 DISTINGUISH: 攵 · 又   CHARACTER MEANING  1A0PCOMPONENTS: 文 MNEOMICS: A desk with ink on it for writing and studying. Signs of culture are writing and literature COMPONENT USAGE: ◼ linear markings ◼ writing ORIGINS: 文 depicts a human body with linear, tattoo-like markings on it. The word was originally used to refer to the tattoos painted on a body. Later, it referred to symbols in general and was extended to also mean writing.   ANCIENT FORM:AA10񂺯  A0PAA00https://zi.tools/zi/文
夕	xi1	1A0AENG ◼ evening, dusk, sunset ◼ night ◼ slanted, obliqueGER ◼ Abend, Sonnenuntergang, Vorabend ◼ Nacht RAD ◼ KangXi radical Nr. 36: evening   INFORMATION 1A0PSTROKES: (3) 񁵿 񁶀 񁶁 VARIANTS:  RELATIVES: 岁 · 名 · 夜 DISTINGUISH: 歹 · 夂 · 夊  CHARACTER MEANING 1A0PCOMPONENTS: 夕 MNEOMICS: depicts the slanted moon, representing evening  COMPONENT USAGE: ◼ nocturnal things (evening, night, dreams, etc) ORIGINS: 夕 depicts the moon at the time of its rising. The original meaning is when the moon rises at sunset in the evening. The characters 月 and 夕 were originally both in the form of a moon, with or without a point in the middle. Later on, a point in the moon shape was used to differentiate between moon (月 with point) and eve (夕 without point).  ANCIENT FORM:AA10񁵽  A0PAA00https://zi.tools/zi/夕
小	xiao3	1A0AENG ◼ small, tiny ◼ few ◼ minor ◼ youngest, young ◼ humble, insignificant  GER ◼  klein, jung  RAD ◼ KangXi radical Nr. 42: small  OPP ◼ 大 ◼ 老   INFORMATION 1A0PSTROKES: (3) 񂗤 񂗥 񂗦   VARIANTS: ⺌  EXAMPLES: 少  DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 小  MNEOMICS: split 八 and make it small  USAGE: ◼ small ORIGINS: 小 uses three small strokes to represent small pieces, which some people believe represented sand grains.   ANCIENT FORM:AA10񂗢  A0PAA00https://zi.tools/zi/小
񁢉[񁢉]	xin1	1A0ARAD ◼ component-only form of KangXi Nr. 61: heart  INFORMATION 1A0PSTROKES: (4) 񂣰 񂣱 񂣲 񂣳 VARIANTS: 忄 · 㣺  RELATIVES: 想  DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 心  MNEOMICS: The human torso is where the heart is. What touches the heart influences mind and soul  USAGE: ◼ NOT a standalone character ◼ thought ◼ feeling ◼ emotion ORIGINS: 񁢉 is a component form of 心, which is a picture of a heart. When it appears as a component on the left side of a character, it is written 忄.   ANCIENT FORM:AA10񂣮  A0PAA00https://zi.tools/zi/心
㣺	xin1	1A0ARAD ◼ component-only form of KangXi Nr. 61: heart  INFORMATION 1A0PVARIANTS: 心 · 񁢉 · 忄  RELATIVES:  快 DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 心  MNEOMICS: The human torso is where the heart is. What touches the heart influences mind and soul  USAGE: ◼ NOT a standalone character ◼ thought ◼ feeling ◼ emotion ORIGINS: 㣺 is a component form of 心, which is a picture of a heart. On the bottom, it is sometimes written 񁢉.   ANCIENT FORM:AA10񂣮  A0PAA00https://zi.tools/zi/㣺
心	xin1	1A0AENG ◼ heart ◼ mind, soul, intelligence ◼ feeling, emotion ◼ intention, idea ◼ centre, core  GER ◼ Herz ◼ Sinn ◼ Gefühl ◼ Zentrum  RAD ◼ KangXi Nr. 61: heart  INFORMATION 1A0PCLASSIFIER: kē [颗] / gè [个]   STROKES: (4) 񄧧 񄧨 񄧩 񄧪  VARIANTS: 忄 · 񁢉 · 㣺  RELATIVES: 想  DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 心  MNEOMICS: The human torso is where the heart is. What touches the heart influences mind and soul  USAGE: ◼ thought ◼ feeling ◼ emotion ORIGINS: 心 is a picture of a heart. The ancients believed that emotions are born in the heart and that the human mind is also dominated by the heart. When it appears as a component on the left side of a character, it is written 忄. On the bottom, it is sometimes written 񁢉.  ANCIENT FORM:AA10񂣮  A0PAA00https://zi.tools/zi/心
忄	xin1	1A0ARAD ◼ component-only left-side form of KangXi Nr. 61: heart  INFORMATION 1A0PSTROKES: (3) 񄘥 񄘦 񄘧 VARIANTS: 心 · 񁢉 · 㣺  RELATIVES:  快 DISTINGUISH:    CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 心  MNEOMICS: The human torso is where the heart is. What touches the heart influences mind and soul  USAGE: ◼ NOT a standalone character ◼ thought ◼ feeling ◼ emotion ORIGINS: 忄 is a component (left side) form of 心, which is a picture of a heart. On the bottom, it is sometimes written 񁢉.   ANCIENT FORM:AA10񂣮  A0PAA00https://zi.tools/zi/忄
言[言]	yan2	1A0AENG ◼ words ◼ speech ◼ say, talk GER ◼ sprechen, sagen ◼ Wort RAD ◼ KangXi radical Nr. 149: speech   INFORMATION 1A0PSTROKES: (7) 񂒨 񂒩 񂒪 񂒫 񂒭 񂒮 񂒯 VARIANTS: 讠 · 訁 RELATIVES: 信 DISTINGUISH:   CHARACTER UNDERSTANDING 1A0PCOMPONENTS: 言 · 񂒦 · 口 ◼ 񂒦 []: empty: resemble tongue, spit ◼ 口 [kǒu]: form: mouth MNEOMICS:  COMPONENT USAGE:  ORIGINS: 言 was originally 舌 (tongue) with an added mark, possibly indicating movement of the tongue. Its original meaning is “spoken language.”    ANCIENT FORM:AA10񂒥  A0PAA00https://zi.tools/zi/言
