Ｎｅｗ		1A0AENG ◼  GER ◼  MW  ◼  RAD ◼  OPP ◼   INFORMATION 1A0PSTROKES: (0)  CLASSIFIER:  VARIANTS:  RELATIVES:  WORDS:  DISTINGUISH:  DICTIONARY ENTRIES:   ·    CHARACTER MEANING 1A0PCOMPONENTS:  MNEOMICS:  COMPONENT USAGE:  ORIGINS:    ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/又
寸	cun4	1A0AENG ◼ small, tiny, little, short ◼ inch ◼ thumb  GER ◼ sehr wenig ◼ Daumen  MW  ◼ a trad. unit of length (尺/市尺=10寸/市寸,  市寸=3.3cm=1.3in) ◼ used for pizza and screens (inch) RAD ◼ KangXi radical Nr. 41: inch, thumb   INFORMATION 1A0PSTROKES: (3) 񁨆 񁨇 񁨈 VARIANTS: 又 RELATIVES: 时  DISTINGUISH:   CHARACTER MEANING 1A0PCOMPONENTS: 寸  MNEOMICS: A thing 丶 which is smaller than the hand. The spot one inch below the wrist where the pulse is measured.   COMPONENT USAGE: ◼ actions done by hand (variant of 又) ◼ measurement of things ◼ investigation ◼ attentiveness  ◼ direction, guidance  ORIGINS: 寸 depicts a hand with a mark below the wrist, around the area where the pulse is taken, which is also the place where ancient Chinese medicine practitioner cuts cut the veins. Originally the character referred to that spot on the wrist.  ANCIENT FORM:AA10񁨄  A0PAA00https://zi.tools/zi/寸
大	da4	1A0AENG ◼ big, vast, large ◼ great ◼ senior, eldest, older ◼ your (politely) ◼ very, fully, extremely  GER ◼ groß, bedeutend, gewaltig ◼ alt  RAD ◼ KangXi radical Nr. 37: big OPP ◼ 小   INFORMATION 1A0PSTROKES: (3) 񁠗 񁠘 񁠙  VARIANTS:  亣  RELATIVES: 太 · 夫  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 大  MNEOMICS: A man with arms and legs spread, trying to convey something large  COMPONENT USAGE: ◼ adult person ◼ smth. big, large, strong, old, etc.  ORIGINS: 大 depicts the front view of a standing adult person. Originally, the character meant adult man, as in opposition to 子, and by extension to also mean big. Later, the character for adult man 夫 was derived from 大.  ANCIENT FORM:AA10񁠕  A0PAA00https://zi.tools/zi/大
刀	dao1	1A0AENG ◼ knife, blade, sword ◼ money, old knife-shaped coin  GER ◼ Messer, Schwert, Hiebwaffe, Säbel  MW  ◼ knife cuts or stabs ◼ [paper] 100 sheets RAD ◼ KangXi radical Nr. 18: knife  INFORMATION 1A0PCLASSIFIER:  bà [把] STROKES: (2) 񃔿 񃕀 VARIANTS: 刂 · 刁 · 𠚣 · ⺈ RELATIVES: 刃 · 分 · 切 · 初 · 券 DISTINGUISH: 力 · 勹   CHARACTER MEANING 1A0PCOMPONENTS: 刀  MNEOMICS: a chinese cleaver (squared) knife that is held horizontally  COMPONENT USAGE: ◼ blade, sharpness ◼ actions undertaken with sharp items like cutting ORIGINS: 刀 is a picture of a knife. The lower/right part is the handle, and the upper/left one is the blade. When it appears as a component on the right side of a character, it is written 刂. Note: In ancient times, there was an old coin shaped like a knife (刀币), which was based on a bronze tool (削). This brought the meaning of money to the character of 刀 (US Dollar 美刀).  ANCIENT FORM:AA10񃍄  A0PAA00https://zi.tools/zi/刀
刂	dao1	1A0ARAD ◼ component-only side form of KangXi radical Nr. 18: (standing) knife   INFORMATION 1A0PSTROKES: (2) 񃍆 񃍇  VARIANTS: 刀 · 刁 RELATIVES: 前 · 别  DISTINGUISH:    CHARACTER MEANING 1A0PCOMPONENTS: 刀 MNEOMICS: cuts with a knife  COMPONENT USAGE: ◼ NOT a standalone character ◼ blade, sharpness ◼ actions undertaken with sharp items like cutting ORIGINS: 刂 is a component form of 刀, which is typically written on the right side of the character.   ANCIENT FORM:AA10񃍄  A0PAA00https://zi.tools/zi/刂
儿[兒]	er2	1A0AENG ◼ son, child ◼ oneself ◼ small thing ◼ diminutive suffix [r]  GER ◼ Sohn RAD ◼ KangXi radical Nr. 10: son, legs  ◼ component form of KangXi radical Nr. 9: man [rén]  INFORMATION 1A0PSTROKES: (2) 񃀮 񃀯   VARIANTS: 人 · 兒 RELATIVES: 兒 · 兄 · 先 · 倪 DISTINGUISH: 八  CHARACTER MEANING 1A0PCOMPONENTS: 儿 ◼ 臼 [xìn]: empty: corruption of 囟 ◼ 儿 [rén]: form: a person's body (人) MNEOMICS: two legs of a person; child with up-raised hands wanting to be picked up  COMPONENT USAGE: ◼ having to do with people (as variant of 人) ◼ different meaning than stand-alone character ORIGINS: 儿 depicts the side view of a person standing. It has two different meanings stemming from different origins (人 and 兒). 儿 is a component form of 人 and in that context NOT a stand-alone character. The traditional form 兒 is composed of 臼, a corruption of 囟, and 儿. The sinplified character is also 儿, which is a modern stand-alone.  ANCIENT FORM:AA10񁤸  A0PAA00https://zi.tools/zi/儿
非[非]	fei1	1A0AENG ◼ not be, not ◼ wrong, incorrect ◼ non-; un-; in-; de- (prefix) ◼ reproach, blame ◼ insist on, simply must ◼ short for Africa (abbr.) GER ◼ non-, nicht- (Präfix) ◼ Afrika  RAD ◼ KangXi radical Nr. 175: wrong OPP ◼ 是 (as noun)  INFORMATION 1A0PSTROKES: (8) 񅅂 񅅃 񅅄 񅅅 񅅆 񅅇 񅅈 񅅉 VARIANTS:  RELATIVES: 靠 DISTINGUISH: 韭 · 北 DICTIONARY ENTRIES:  非…不…   CHARACTER MEANING 1A0PCOMPONENTS: 非 MNEOMICS: mirror image that shows opposite forms; knuckles pressed together, ready to oppose everyone in their way COMPONENT USAGE: ◼ against ORIGINS: 非 depicts two people with their backs to each other. The original meaning is to go against or oppose.   ANCIENT FORM:AA10񅅀  A0PAA00https://zi.tools/zi/非
阜[阜]	fu4	1A0AENG ◼ mound ◼ abundant GER ◼ reichlich ◼ Erdhügel RAD ◼ KangXi radical Nr. 170: mound  INFORMATION 1A0PVARIANTS: 阝  CHARACTER MEANING 1A0PCOMPONENTS: 阜 MNEOMICS: Represents steps coming down from a city, or possiby a wall COMPONENT USAGE: ◼ not really used ORIGINS: 阜 is an abbreviation of 𨸏, which is a depiction of hills, indicating the original meaning of a hill. The component form 阝 only appears on the left side of a character.  ANCIENT FORM:AA10񄮺  A0PAA00https://zi.tools/zi/阜
阝[阝]	fu4	1A0ARAD ◼ component-only left-side form of KangXi radical Nr. 170: mound (can not find examples) [fù] ◼ component-only right-side form of KangXi radical Nr. 163: city [yì]   INFORMATION 1A0PVARIANTS: 阜 DISTINGUISH: 񁍍   CHARACTER MEANING 1A0PCOMPONENTS: 阜 MNEOMICS: steps COMPONENT USAGE:  ORIGINS: 阝 has two origin stories. Based on which side the component is located in the character, a different meaning is placed on it. When on the left side, it is derived from 阜 (mound). On the right side it  stems from 邑 (city).  ANCIENT FORM:AA10  A0PAA00https://zi.tools/zi/阝
干[干]	gan1	1A0AENG ◼ offend, affront, oppose ◼ obstruct, interfere ◼ concern, involved ◼ sheild (archaic) GER ◼ Schild RAD ◼ KangXi radical Nr. 51: shield, dry   INFORMATION 1A0PSTROKES: (3) 񳤹 񳤺 񳤻 VARIANTS:  RELATIVES: 刊 · 罕 · 奸 DISTINGUISH: 干/幹 [gàn] · 干/乾 [gān]   CHARACTER MEANING 1A0PCOMPONENTS: 干 MNEOMICS: sheild COMPONENT USAGE: ◼ (military/hunting) tool ◼ pole ORIGINS: 干 depicts and originally means a kind of instrument used for hunting or for military purposes. 干 is also used to abbreviate the characters 乾 and 幹 in simplified Chinese.   ANCIENT FORM:AA10񳤷  A0PAA00https://zi.tools/zi/干
干[乾]	gan1	1A0AENG ◼ dry, dried up ◼ clean, empty, hollow ◼ futile, in vain GER ◼ trocken RAD ◼ simplified = KangXi radical Nr. 51: shield, dry  OPP ◼ 湿  INFORMATION 1A0PSTROKES: (3) 񳤹 񳤺 񳤻 VARIANTS: 乾 (traditional) · 乹 (old) WORDS: 干净 · 乾淨 DISTINGUISH: 干 [gān] · 干/幹 [gàn]  CHARACTER MEANING 1A0PCOMPONENTS: 干 · 乾/乹 ◼ 倝 [gàn]: sound ◼ 乙 [yǐ]: empty: distinguishing mark MNEOMICS: at dawn 倝 when the sun comes up things begin to dry 乙 COMPONENT USAGE:  ORIGINS: The whole character of 乾 is used for its sound to express the original meaning dry (the opposite of wet). 干 is also used to abbreviate the character 幹 in simplified Chinese.   ANCIENT FORM:AA10񳓵  A0PAA00https://zi.tools/zi/干 https://zi.tools/zi/乾 https://zi.tools/zi/乹
